time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/std,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_range,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
255,513,131072,64,0.8867617249488831,0.0234375,0.7997474670410156,630,-2.598784250020981,0.2,1.9957272380590438,0.0046310965,-0.002976039401255548,0.6244511604309082,0.0003,-147.40796031,1200.0
257,515,133120,65,0.8864262104034424,0.0107421875,0.9685302972793579,640,-2.596934658288956,0.2,2.619628219306469,0.0045075426,-0.0012561295297928154,0.5368746519088745,0.0003,-147.40796031,1200.0
263,512,135168,66,0.8847665786743164,0.053515625,0.8988949060440063,650,-2.595097303390503,0.2,0.7431362047791481,0.0057453,-0.00419029570184648,0.12442441284656525,0.0003,-141.98716566000002,1200.0
266,515,137216,67,0.8843247890472412,0.032861328125,0.9657768607139587,660,-2.5920630633831023,0.2,2.7981315076351168,0.005278537,-0.0034261641732882707,0.9003756046295166,0.0003,-141.98716566000002,1200.0
271,512,139264,68,0.8840063214302063,0.04189453125,0.5020428895950317,670,-2.5918329417705537,0.2,3.5249325573444366,0.0064637666,-0.005039560212753713,0.9006039500236511,0.0003,-143.52725031,1200.0
274,514,141312,69,0.8837229609489441,0.010986328125,0.8658034801483154,680,-2.5908199727535246,0.2,3.0599317729473112,0.0039109094,-0.0012890196056105196,0.6627499461174011,0.0003,-143.52725031,1200.0
277,517,143360,70,0.8829180002212524,0.0109375,0.9482578039169312,690,-2.5898897528648375,0.2,0.9813574694097043,0.0031738775,-0.001298676838632673,0.17786507308483124,0.0003,-143.52725031,1200.0
282,513,145408,71,0.8817087411880493,0.011474609375,0.8564348816871643,700,-2.5876097857952116,0.2,2.279812586307526,0.003442905,-0.0018318050540983676,0.25711673498153687,0.0003,-139.99437077000002,1200.0
285,516,147456,72,0.8804749846458435,0.0232421875,0.9770992398262024,710,-2.5844651401042937,0.2,2.0979190915822983,0.0032844977,-0.0030225919326767325,0.9817292094230652,0.0003,-139.99437077000002,1200.0
291,513,149504,73,0.8802149891853333,0.027001953125,0.953840970993042,720,-2.582788401842117,0.2,2.178442084789276,0.0035436098,-0.0019471596868243068,0.28576985001564026,0.0003,-141.38619102,1200.0
293,515,151552,74,0.8786929249763489,0.1068359375,0.9889170527458191,730,-2.581436312198639,0.2,2.010784184932709,0.008583489,-0.00650110658025369,0.8546847701072693,0.0003,-141.38619102,1200.0
299,512,153600,75,0.87661212682724,0.05087890625,0.9701679348945618,740,-2.5769530177116393,0.2,1.7176570028066636,0.007817787,-0.0037054602871648967,0.46147865056991577,0.0003,-140.05775536,1200.0
302,515,155648,76,0.8758521676063538,0.026416015625,0.8906621336936951,750,-2.573250102996826,0.2,2.724371474981308,0.0054016113,-0.002736349555198103,0.8383585214614868,0.0003,-140.05775536,1200.0
304,517,157696,77,0.8759210109710693,0.018017578125,0.9870911240577698,760,-2.572725111246109,0.2,0.8767488442361355,0.0027863192,-0.0012279898044653236,0.296466588973999,0.0003,-140.05775536,1200.0
310,514,159744,78,0.8737682104110718,0.115380859375,0.9711027145385742,770,-2.57089878320694,0.2,0.6533342711627483,0.0098090945,-0.01148474485380575,0.17685754597187042,0.0003,-140.43749401,1200.0
312,516,161792,79,0.8732458353042603,0.0306640625,0.9766476154327393,780,-2.566677451133728,0.2,2.7136483639478683,0.0048356885,-0.004357965348754078,0.6354233622550964,0.0003,-140.43749401,1200.0
318,513,163840,80,0.8728082180023193,0.0466796875,0.9378650784492493,790,-2.5664655685424806,0.2,6.636140349507332,0.0061695036,-0.004810726968571544,0.8895745873451233,0.0003,-149.81467034000002,1200.0
321,516,165888,81,0.8721698522567749,0.015966796875,0.978018045425415,800,-2.564898759126663,0.2,7.526435905694962,0.0050853174,-0.002368637430481613,1.4671202898025513,0.0003,-149.81467034000002,1200.0
324,518,167936,82,0.8722324967384338,0.08818359375,0.9639950394630432,810,-2.564172291755676,0.2,3.9292656898498537,0.0095463265,0.003210257668979466,0.7647385001182556,0.0003,-149.81467034000002,1200.0
329,515,169984,83,0.8718201518058777,0.02509765625,0.6322407722473145,820,-2.5640054881572723,0.2,2.720625898241997,0.008077248,-0.0010263099335134029,0.4654030501842499,0.0003,-146.13400503,1200.0
332,517,172032,84,0.8694837093353271,0.02646484375,0.9840738773345947,830,-2.5610321700572967,0.2,0.9034039087593555,0.0041534193,-0.0028249066090211272,0.09934624284505844,0.0003,-146.13400503,1200.0
338,514,174080,85,0.8683558702468872,0.075439453125,0.9366037249565125,840,-2.5565068662166595,0.2,1.1220665186643601,0.006255892,-0.007659010251518339,0.22023865580558777,0.0003,-147.34559245000003,1200.0
340,517,176128,86,0.8678029775619507,0.002587890625,0.9628793001174927,850,-2.5546388924121857,0.2,4.027667742967606,0.0027430742,-0.0010600809124298393,0.9389082789421082,0.0003,-147.34559245000003,1200.0
346,514,178176,87,0.8668607473373413,0.03330078125,0.9235181212425232,860,-2.5532173454761504,0.2,2.2200379863381388,0.005657927,-0.004357139184139669,0.36252814531326294,0.0003,-151.36823108,1200.0
348,516,180224,88,0.8666476011276245,0.027294921875,0.9776495695114136,870,-2.551332104206085,0.2,5.094696098566056,0.00572358,-0.0022635522298514845,1.0595730543136597,0.0003,-151.36823108,1200.0
351,518,182272,89,0.8663550615310669,0.03115234375,0.982048511505127,880,-2.551215428113937,0.2,1.2414991229772567,0.0040077437,-0.004351085040252656,0.30747565627098083,0.0003,-151.36823108,1200.0
357,516,184320,90,0.8659534454345703,0.01806640625,0.9293876886367798,890,-2.550138586759567,0.2,3.5352620393037797,0.005528372,-0.0021052239288110288,0.31684768199920654,0.0003,-150.99428465,1200.0
359,518,186368,91,0.8658816814422607,0.063525390625,0.978205680847168,900,-2.549631601572037,0.2,3.571048977971077,0.006056453,-0.0076938970945775505,1.0139635801315308,0.0003,-150.99428465,1200.0
365,515,188416,92,0.8651312589645386,0.02587890625,0.9786220788955688,910,-2.549117308855057,0.2,2.4976975068449976,0.0040913313,-0.0032161784125491976,0.9098148345947266,0.0003,-154.82235122,1200.0
368,517,190464,93,0.8654428720474243,0.02158203125,0.9790652394294739,920,-2.547613042593002,0.2,7.570549893379211,0.004613704,-0.003190243151038885,1.514799952507019,0.0003,-154.82235122,1200.0
373,514,192512,94,0.8652889132499695,0.0330078125,0.9574712514877319,930,-2.5485446751117706,0.2,7.325944364070892,0.005195159,-0.0031657629064284266,1.7347499132156372,0.0003,-156.58913156999998,1200.0
