time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/n_updates,train/clip_fraction,train/learning_rate,train/std,train/entropy_loss,train/clip_range,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/loss
436,290,1194.39,378880,62,-268.69954769,1840,0.018115234375,0.0003,0.8359426259994507,-2.4780925273895265,0.2,0.9860289096832275,11.272091978788376,-0.002413204056210816,0.0032845305,3.0570054054260254
431,299,1192.39,380928,63,-269.50121884,1850,0.03447265625,0.0003,0.8357982039451599,-2.478209751844406,0.2,0.9963787794113159,2.306172025203705,-0.003368311357917264,0.005740575,0.6174423694610596
426,307,1192.39,382976,64,-270.57913544,1860,0.02763671875,0.0003,0.8356012105941772,-2.4778042256832125,0.2,0.9653826355934143,42.568978261947635,-0.003191799356136471,0.004948512,12.685009956359863
425,312,1192.39,385024,65,-271.5718002400001,1870,0.025439453125,0.0003,0.8316750526428223,-2.4744774401187897,0.2,0.9876781105995178,3.227156087756157,-0.004950667161028832,0.0034782616,0.5955520272254944
417,323,1192.39,387072,66,-272.86864283,1880,0.039453125,0.0003,0.8301963210105896,-2.465529602766037,0.2,0.9870250225067139,2.266917298734188,-0.0013574924552813173,0.0048948796,0.2492089867591858
420,326,1192.39,389120,67,-272.86864283,1890,0.023193359375,0.0003,0.8312079310417175,-2.4655965685844423,0.2,0.993242084980011,1.8294583335518837,-0.0019318953505717217,0.0043318956,0.3530491590499878
409,340,1192.39,391168,68,-269.70581331999995,1900,0.06103515625,0.0003,0.8319405317306519,-2.467778205871582,0.2,0.9933595657348633,2.0348222449421884,-0.0007884431281127036,0.005577784,0.4062296748161316
412,342,1192.39,393216,69,-269.70581331999995,1910,0.05068359375,0.0003,0.8333843946456909,-2.4703042030334474,0.2,0.9832919836044312,3.0380659997463226,-0.005121953471098095,0.006154656,0.6321508884429932
408,351,1192.39,395264,70,-267.94680041,1920,0.0375,0.0003,0.8315427899360657,-2.471524602174759,0.2,0.9944648146629333,1.0454232923686504,-0.004071880469564348,0.007146432,0.3249952495098114
404,359,1192.39,397312,71,-269.66259382,1930,0.04833984375,0.0003,0.8295254111289978,-2.4664430618286133,0.2,0.9920414090156555,3.0910891219973564,0.003837051917798817,0.0011002185,0.3848472833633423
403,365,1189.99,399360,72,-264.27227977,1940,0.0400390625,0.0003,0.8275001049041748,-2.46089129447937,0.2,0.9955346584320068,2.3781555563211443,-0.003997474606148898,0.0060671754,0.4668909013271332
397,376,1189.99,401408,73,-261.16764241,1950,0.038671875,0.0003,0.8271581530570984,-2.4584240078926087,0.2,0.9306602478027344,45.6114675283432,-0.0020550240995362403,0.0036826907,15.194599151611328
396,381,1189.99,403456,74,-257.81524662,1960,0.04501953125,0.0003,0.8266898393630981,-2.457356017827988,0.2,0.992237389087677,1.526511164009571,-0.0031232750741764905,0.0046108295,0.27641797065734863
390,393,1189.99,405504,75,-256.55278411,1970,0.030078125,0.0003,0.8270887136459351,-2.4570392608642577,0.2,0.98614501953125,2.7676554888486864,-0.0031840771902352572,0.007559431,0.4647911787033081
393,395,1189.99,407552,76,-256.55278411,1980,0.033056640625,0.0003,0.8289759159088135,-2.459435594081879,0.2,0.9899241328239441,1.862014429271221,-0.004655818280298263,0.0030460826,0.32805299758911133
390,404,1189.99,409600,77,-257.53912143,1990,0.045263671875,0.0003,0.8289824724197388,-2.4629786610603333,0.2,0.9977592825889587,1.3873103827238082,-0.002773133688606322,0.0045829574,0.39583882689476013
387,412,1188.44,411648,78,-253.16924144999996,2000,0.014453125,0.0003,0.8286527991294861,-2.4621218740940094,0.2,0.9943118691444397,5.013117361068725,-0.0030550619470886887,0.004450783,1.1654064655303955
384,420,1185.88,413696,79,-247.83116071,2010,0.02900390625,0.0003,0.8266785740852356,-2.459975451231003,0.2,0.8762404322624207,33.234515237808225,-0.0019051052629947662,0.004880881,10.778660774230957
381,429,1185.88,415744,80,-245.17765154,2020,0.032177734375,0.0003,0.8275792002677917,-2.456213039159775,0.2,0.959632933139801,34.91397341489792,-0.002420642494689673,0.007957127,16.813039779663086
381,434,1185.88,417792,81,-244.53233940999996,2030,0.0556640625,0.0003,0.8273594379425049,-2.4595094084739686,0.2,0.9976038336753845,1.5415891125798225,-0.00368076772429049,0.005648002,0.3050386905670166
376,445,1185.88,419840,82,-240.73585479999997,2040,0.067138671875,0.0003,0.8277124762535095,-2.458436244726181,0.2,0.9917632937431335,2.438439628481865,-0.004472652787808329,0.0055335816,0.3450374901294708
379,448,1185.88,421888,83,-240.73585479999997,2050,0.041162109375,0.0003,0.8286401033401489,-2.460853952169418,0.2,0.9911088347434998,2.489678594470024,-0.002808198152342811,0.006352382,0.25259169936180115
374,459,1185.88,423936,84,-234.32378836999996,2060,0.02861328125,0.0003,0.8267430067062378,-2.460501861572266,0.2,0.9376359581947327,3.7291994601488114,-0.0030925518309231847,0.004648984,0.2906564474105835
374,464,1185.88,425984,85,-231.86681714999997,2070,0.050732421875,0.0003,0.8266806602478027,-2.455372613668442,0.2,0.9816406965255737,2.9974002785980702,-0.004042688617482781,0.006143452,0.2711518108844757
370,475,1183.59,428032,86,-227.72376082,2080,0.031787109375,0.0003,0.8270176649093628,-2.45779944062233,0.2,0.9940466284751892,1.679636861383915,-0.003362346574431285,0.004767067,0.45884233713150024
370,481,1183.59,430080,87,-225.16029691000003,2090,0.043017578125,0.0003,0.8263919949531555,-2.4571432054042814,0.2,0.9436129331588745,43.53931849002838,-0.002812317863572389,0.008095595,10.740673065185547
365,492,1174.38,432128,88,-209.04438062999998,2100,0.031884765625,0.0003,0.8281017541885376,-2.457150346040726,0.2,0.9874300360679626,0.9783168658614159,-0.0027640600339509545,0.0037404555,0.16121850907802582
365,498,1174.38,434176,89,-206.93184494999997,2110,0.1486328125,0.0003,0.8295091390609741,-2.462026447057724,0.2,0.8042275905609131,87.95526065826417,-2.58959480561316e-05,0.006819998,30.72401237487793
361,509,1168.68,436224,90,-194.92077373,2120,0.04873046875,0.0003,0.8317103981971741,-2.4660453617572786,0.2,0.9739089608192444,3.1877829492092133,-0.003951133298687637,0.006955616,0.42709168791770935
362,514,1168.68,438272,91,-195.28122993,2130,0.06943359375,0.0003,0.8315062522888184,-2.4689560651779177,0.2,0.8437044620513916,58.73107824325562,-0.0023798385518603027,0.0077948864,32.652069091796875
360,522,1165.17,440320,92,-192.40162537,2140,0.071533203125,0.0003,0.8315178155899048,-2.4687610805034637,0.2,0.9921538829803467,2.7091738045215608,-0.004695097834337502,0.009462841,0.5266811847686768
358,531,1162.41,442368,93,-183.66372474000002,2150,0.046875,0.0003,0.8319247961044312,-2.4691662073135374,0.2,0.9089385271072388,26.742571938037873,-0.005344557826174423,0.006047466,5.254777908325195
356,539,1159.91,444416,94,-178.42299490000002,2160,0.0421875,0.0003,0.8299247026443481,-2.468347692489624,0.2,0.8641999959945679,18.50864897966385,-0.00168736667255871,0.0051045744,13.221794128417969
355,548,1159.91,446464,95,-173.07561422999999,2170,0.072705078125,0.0003,0.8303356766700745,-2.4648430407047273,0.2,0.9595267176628113,18.770481342077254,-0.005017911468166858,0.008076456,2.3193366527557373
355,553,1159.91,448512,96,-171.57032020999998,2180,0.020361328125,0.0003,0.8300976753234863,-2.4656116545200346,0.2,0.972251832485199,10.157822901010514,-0.001240684138610959,0.0047392864,7.723566055297852
353,561,1156.65,450560,97,-170.16248401000001,2190,0.053759765625,0.0003,0.8324282169342041,-2.4670583963394166,0.2,0.9852256774902344,6.067404747009277,-0.005823797092307359,0.003739664,0.8638962507247925
353,567,1156.65,452608,98,-164.77946267,2200,0.043505859375,0.0003,0.8313014507293701,-2.4707740426063536,0.2,0.9335073232650757,28.966371059417725,-0.0018021223309915512,0.0070227915,6.866940498352051
348,581,1153.3,454656,99,-154.79254943,2210,0.0208984375,0.0003,0.8304414749145508,-2.4666716754436493,0.2,0.9898154735565186,3.1849774062633514,-0.0023080044775269926,0.00415072,0.5640013217926025
350,583,1153.3,456704,100,-154.79254943,2220,0.025048828125,0.0003,0.8336840867996216,-2.4687459051609038,0.2,0.9778949618339539,18.54409665465355,-0.0029623601585626602,0.0030867262,6.3297295570373535
346,597,1146.03,458752,101,-143.70482869,2230,0.0240234375,0.0003,0.834874153137207,-2.4759384393692017,0.2,0.880179226398468,3.302336023747921,-0.0014122409222181887,0.0040602316,0.2599083483219147
347,600,1146.03,460800,102,-143.70482869,2240,0.02060546875,0.0003,0.8315868377685547,-2.4740160703659058,0.2,0.9198776483535767,53.645666408538816,-0.0012586556724272669,0.0051169805,18.69890594482422
344,611,1146.03,462848,103,-141.84676218999996,2250,0.014013671875,0.0003,0.8309528827667236,-2.4669740736484527,0.2,0.9369003176689148,9.73596293926239,-0.0021435111528262498,0.0044281743,2.6365649700164795
345,617,1146.03,464896,104,-136.98290922999996,2260,0.0234375,0.0003,0.8304351568222046,-2.466502970457077,0.2,0.991777777671814,5.392038738727569,-0.002500045264605433,0.0053090835,1.0642507076263428
345,622,1146.03,466944,105,-136.76345834999995,2270,0.044580078125,0.0003,0.8325488567352295,-2.4675317287445067,0.2,0.9671380519866943,3.473901653289795,-0.0036131700850091874,0.0073041813,0.8901843428611755
342,633,1146.03,468992,106,-133.6956741,2280,0.03984375,0.0003,0.83290696144104,-2.4719817101955415,0.2,0.9923336505889893,5.509805738925934,-0.0014807526546064763,0.004923943,1.8255935907363892
344,636,1146.03,471040,107,-133.6956741,2290,0.084521484375,0.0003,0.8369839191436768,-2.4755032062530518,0.2,0.9949913620948792,1.8606532514095306,-0.005349016864784062,0.0078091817,0.3510659337043762
339,650,1149.43,473088,108,-139.38513928,2300,0.0037109375,0.0003,0.8377580642700195,-2.4840864181518554,0.2,0.9553117752075195,3.759449082612991,-0.00027914256788790225,0.0013961737,0.5701212882995605
341,653,1149.43,475136,109,-139.38513928,2310,0.018603515625,0.0003,0.8381447792053223,-2.483455663919449,0.2,0.9967212677001953,4.5753480195999146,-0.0008082909334916621,0.0026318845,1.4509360790252686
338,664,1150.03,477184,110,-137.80582441,2320,0.05,0.0003,0.8384884595870972,-2.4849687576293946,0.2,0.9602435231208801,2.4561896815896036,-0.0033924559596925975,0.0030656408,0.2401837259531021
339,670,1150.03,479232,111,-139.13779026000003,2330,0.037890625,0.0003,0.8379946947097778,-2.4848476946353912,0.2,0.992489218711853,2.6312051862478256,-0.0029413474956527354,0.0067406436,0.6337950229644775
339,675,1151.64,481280,112,-142.34817884000003,2340,0.05615234375,0.0003,0.8402259945869446,-2.4858455300331115,0.2,0.978503406047821,2.608461982011795,-0.003450217435602099,0.004896212,0.503336489200592
336,686,1151.64,483328,113,-137.33180181,2350,0.04052734375,0.0003,0.8423551321029663,-2.4917884290218355,0.2,0.9939127564430237,1.806772629916668,-0.005477008200250566,0.006082298,0.28371647000312805
338,689,1151.64,485376,114,-137.33180181,2360,0.0787109375,0.0003,0.8412201404571533,-2.4937763035297396,0.2,0.9978304505348206,1.1994774788618088,-0.0028620127122849226,0.013552916,0.2984606623649597
